Course_name,Course_Type,Start_time,End_time,Locations,Staffs
Symbolic AI,Werkcollege,2024-09-20 09:00:00,2024-09-20 10:45:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-09-20 11:00:00,2024-09-20 12:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BM.1.33, Gorlaeus Building - BW.0.40","Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Statistics for Computer Scientists,Hoorcollege,2024-09-20 13:15:00,2024-09-20 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-09-20 15:15:00,2024-09-20 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.33, Gorlaeus Building - BW.0.40","Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-09-23 11:00:00,2024-09-23 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-09-23 13:15:00,2024-09-23 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Werkcollege,2024-09-23 15:15:00,2024-09-23 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-09-24 09:00:00,2024-09-24 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Hoorcollege,2024-09-24 11:00:00,2024-09-24 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-09-26 15:15:00,2024-09-26 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.26","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-09-26 17:15:00,2024-09-26 19:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Broekens, D.J.(Joost)"
Symbolic AI,Werkcollege,2024-09-27 09:00:00,2024-09-27 10:45:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Broekens, D.J.(Joost)"
Automata Theory,Werkcollege,2024-09-27 11:00:00,2024-09-27 12:45:00,"Gorlaeus Building - BM.1.26, Gorlaeus Building - BM.1.33, Gorlaeus Building - BW.0.40","Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Statistics for Computer Scientists,Hoorcollege,2024-09-27 13:15:00,2024-09-27 15:00:00,Lecture Hall - C3,"Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Statistics for Computer Scientists,Werkcollege,2024-09-27 15:15:00,2024-09-27 17:00:00,"Gorlaeus Building - BM.1.23, Gorlaeus Building - BM.1.33, Gorlaeus Building - BW.0.40","Leeuwen, M.(Matthijs) van, Vinkenoog, M.(Marieke)"
Automata Theory,Hoorcollege,2024-09-30 11:00:00,2024-09-30 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-09-30 13:15:00,2024-09-30 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Werkcollege,2024-09-30 15:15:00,2024-09-30 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-10-01 09:00:00,2024-10-01 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Symbolic AI,Hoorcollege,2024-10-01 11:00:00,2024-10-01 12:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
Automata Theory,Hoorcollege,2024-10-07 11:00:00,2024-10-07 12:45:00,Lecture Hall - C3,"Papuc, D.(Dalia), Vliet, R.(Rudy) van"
Software Development,Hoorcollege,2024-10-07 13:15:00,2024-10-07 15:00:00,Lecture Hall - C3,"Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Software Development,Werkcollege,2024-10-07 15:15:00,2024-10-07 17:00:00,"Gorlaeus Building - DM.0.09-PC, Gorlaeus Building - DM.0.13-PC, Gorlaeus Building - DM.0.17-PC, Gorlaeus Building - DM.0.21-PC","Kalavainen, M.K.K.(Kristoffer), Saxena, A.(Akrati)"
Human-Agent Interaction,Hoorcollege,2024-10-08 09:00:00,2024-10-08 10:45:00,Gorlaeus Building - CM.1.26,"Broekens, D.J.(Joost)"
